order_id,ship_name,ship_address,ship_city
10248,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims
10249,Toms Spezialitäten,Luisenstr. 48,Münster
10250,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro
10251,Victuailles en stock,"2, rue du Commerce",Lyon
10252,Suprêmes délices,"Boulevard Tirou, 255",Charleroi
10253,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro
10254,Chop-suey Chinese,Hauptstr. 31,Bern
10255,Richter Supermarkt,Starenweg 5,Genève
10256,Wellington Importadora,"Rua do Mercado, 12",Resende
10257,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal
10258,Ernst Handel,Kirchgasse 6,Graz
10259,Centro comercial Moctezuma,Sierras de Granada 9993,México D.F.
10260,Ottilies Käseladen,Mehrheimerstr. 369,Köln
10261,Que Delícia,"Rua da Panificadora, 12",Rio de Janeiro
10262,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque
10263,Ernst Handel,Kirchgasse 6,Graz
10264,Folk och fä HB,Åkergatan 24,Bräcke
10265,Blondel père et fils,"24, place Kléber",Strasbourg
10266,Wartian Herkku,Torikatu 38,Oulu
10267,Frankenversand,Berliner Platz 43,München
10268,GROSELLA-Restaurante,5ª Ave. Los Palos Grandes,Caracas
10269,White Clover Markets,1029 - 12th Ave. S.,Seattle
10270,Wartian Herkku,Torikatu 38,Oulu
10271,Split Rail Beer & Ale,P.O. Box 555,Lander
10272,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque
10273,QUICK-Stop,Taucherstraße 10,Cunewalde
10274,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims
10275,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo
10276,Tortuga Restaurante,Avda. Azteca 123,México D.F.
10277,Morgenstern Gesundkost,Heerstr. 22,Leipzig
10278,Berglunds snabbköp,Berguvsvägen  8,Luleå
10279,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.
10280,Berglunds snabbköp,Berguvsvägen  8,Luleå
10281,Romero y tomillo,"Gran Vía, 1",Madrid
10282,Romero y tomillo,"Gran Vía, 1",Madrid
10283,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto
10284,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.
10285,QUICK-Stop,Taucherstraße 10,Cunewalde
10286,QUICK-Stop,Taucherstraße 10,Cunewalde
10287,Ricardo Adocicados,"Av. Copacabana, 267",Rio de Janeiro
10288,Reggiani Caseifici,Strada Provinciale 124,Reggio Emilia
10289,B's Beverages,Fauntleroy Circus,London
10290,Comércio Mineiro,"Av. dos Lusíadas, 23",Sao Paulo
10291,Que Delícia,"Rua da Panificadora, 12",Rio de Janeiro
10292,Tradiçao Hipermercados,"Av. Inês de Castro, 414",Sao Paulo
10293,Tortuga Restaurante,Avda. Azteca 123,México D.F.
10294,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque
10295,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims
10296,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto
10297,Blondel père et fils,"24, place Kléber",Strasbourg
10298,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork
10299,Ricardo Adocicados,"Av. Copacabana, 267",Rio de Janeiro
10300,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo
10301,Die Wandernde Kuh,Adenauerallee 900,Stuttgart
10302,Suprêmes délices,"Boulevard Tirou, 255",Charleroi
10303,Godos Cocina Típica,"C/ Romero, 33",Sevilla
10304,Tortuga Restaurante,Avda. Azteca 123,México D.F.
10305,Old World Delicatessen,2743 Bering St.,Anchorage
10306,Romero y tomillo,"Gran Vía, 1",Madrid
10307,Lonesome Pine Restaurant,89 Chiaroscuro Rd.,Portland
10308,Ana Trujillo Emparedados y helados,Avda. de la Constitución 2222,México D.F.
10309,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork
10310,The Big Cheese,89 Jefferson Way Suite 2,Portland
10311,Du monde entier,"67, rue des Cinquante Otages",Nantes
10312,Die Wandernde Kuh,Adenauerallee 900,Stuttgart
10313,QUICK-Stop,Taucherstraße 10,Cunewalde
10314,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque
10315,Island Trading,Garden House Crowther Way,Cowes
10316,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque
10317,Lonesome Pine Restaurant,89 Chiaroscuro Rd.,Portland
10318,Island Trading,Garden House Crowther Way,Cowes
10319,Tortuga Restaurante,Avda. Azteca 123,México D.F.
10320,Wartian Herkku,Torikatu 38,Oulu
10321,Island Trading,Garden House Crowther Way,Cowes
10322,Pericles Comidas clásicas,Calle Dr. Jorge Cash 321,México D.F.
10323,Königlich Essen,Maubelstr. 90,Brandenburg
10324,Save-a-lot Markets,187 Suffolk Ln.,Boise
10325,Königlich Essen,Maubelstr. 90,Brandenburg
10326,Bólido Comidas preparadas,"C/ Araquil, 67",Madrid
10327,Folk och fä HB,Åkergatan 24,Bräcke
10328,Furia Bacalhau e Frutos do Mar,Jardim das rosas n. 32,Lisboa
10329,Split Rail Beer & Ale,P.O. Box 555,Lander
10330,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto
